player,fg_per_g,fta_per_g,ast_per_g,pts_per_g,per,usg_pct,ws,ws_per_48,vorp,mov,win_loss_pct
Nikolo Jokic,9.9,5.6,9.2,25.5,31.2,29.3,7.8,0.303,5,5.42,0.684
Luka Doncic,11.4,8.7,9.1,33.6,27.5,36,5.3,0.204,3.6,1.68,0.579
Joel Embiid,11.6,11.6,6,34.6,34,38.1,5.7,0.296,3.3,8.23,0.657
Giannis Anteto,11.7,11.4,5.9,31.4,29.7,33.3,6.3,0.237,3.2,4.22,0.676
Shai Gilgeous-Alexander,11.3,8.7,6.4,31.5,31,32.7,7.4,0.3,3.6,7.57,0.686
